,latitude,longitude,duration
0,47.45451452452417,8.392432229179988,3388.0
1,47.45451452452417,8.399063522720988,3757.0
2,47.45451452452417,8.40569481626199,4537.0
3,47.45451452452417,8.41232610980299,4400.0
4,47.45451452452417,8.41895740334399,3627.0
5,47.45451452452417,8.425588696884992,3268.0
6,47.45451452452417,8.432219990425992,2648.0
7,47.45451452452417,8.438851283966992,2609.0
8,47.45451452452417,8.445482577507992,4262.0
9,47.45451452452417,8.452113871048994,4208.0
10,47.45451452452417,8.458745164589994,3290.0
11,47.45451452452417,8.465376458130994,4001.0
12,47.45451452452417,8.472007751671995,4217.0
13,47.45451452452417,8.478639045212995,4429.0
14,47.45451452452417,8.485270338753995,4409.0
15,47.45451452452417,8.491901632294997,4001.0
16,47.45451452452417,8.498532925835997,3756.0
17,47.45451452452417,8.505164219376997,3731.0
18,47.45451452452417,8.511795512917999,3290.0
19,47.45451452452417,8.518426806458999,2929.0
20,47.45451452452417,8.525058099999999,2416.0
21,47.45451452452417,8.531689393541,1881.0
22,47.45451452452417,8.538320687082,2169.0
23,47.45451452452417,8.544951980623,5000.0
24,47.45451452452417,8.551583274164,5000.0
25,47.45451452452417,8.558214567705003,2944.0
26,47.45451452452417,8.564845861246003,2656.0
27,47.45451452452417,8.571477154787003,2253.0
28,47.45451452452417,8.578108448328004,2206.0
29,47.45451452452417,8.584739741869004,2273.0
30,47.45451452452417,8.591371035410004,2748.0
31,47.45451452452417,8.598002328951006,3006.0
32,47.45451452452417,8.604633622492006,3241.0
33,47.45451452452417,8.611264916033006,3748.0
34,47.45451452452417,8.617896209574008,3528.0
35,47.45451452452417,8.624527503115008,4046.0
36,47.45451452452417,8.631158796656008,3585.0
37,47.45451452452417,8.637790090197008,3431.0
38,47.45451452452417,8.64442138373801,3749.0
39,47.45451452452417,8.65105267727901,3371.0
40,47.45003194829796,8.392432229179988,3913.0
41,47.45003194829796,8.399063522720988,3827.0
42,47.45003194829796,8.40569481626199,3674.0
43,47.45003194829796,8.41232610980299,3923.0
44,47.45003194829796,8.41895740334399,3582.0
45,47.45003194829796,8.425588696884992,3284.0
46,47.45003194829796,8.432219990425992,2985.0
47,47.45003194829796,8.438851283966992,2744.0
48,47.45003194829796,8.445482577507992,3057.0
49,47.45003194829796,8.452113871048994,4481.0
50,47.45003194829796,8.458745164589994,4157.0
51,47.45003194829796,8.465376458130994,3782.0
52,47.45003194829796,8.472007751671995,4015.0
53,47.45003194829796,8.478639045212995,4076.0
54,47.45003194829796,8.485270338753995,3996.0
55,47.45003194829796,8.491901632294997,4840.0
56,47.45003194829796,8.498532925835997,4479.0
57,47.45003194829796,8.505164219376997,5000.0
58,47.45003194829796,8.511795512917999,3230.0
59,47.45003194829796,8.518426806458999,2709.0
60,47.45003194829796,8.525058099999999,2428.0
61,47.45003194829796,8.531689393541,2179.0
62,47.45003194829796,8.538320687082,2356.0
63,47.45003194829796,8.544951980623,2857.0
64,47.45003194829796,8.551583274164,4619.0
65,47.45003194829796,8.558214567705003,3199.0
66,47.45003194829796,8.564845861246003,1710.0
67,47.45003194829796,8.571477154787003,2341.0
68,47.45003194829796,8.578108448328004,2390.0
69,47.45003194829796,8.584739741869004,2166.0
70,47.45003194829796,8.591371035410004,2409.0
71,47.45003194829796,8.598002328951006,2534.0
72,47.45003194829796,8.604633622492006,2807.0
73,47.45003194829796,8.611264916033006,3070.0
74,47.45003194829796,8.617896209574008,3133.0
75,47.45003194829796,8.624527503115008,3561.0
76,47.45003194829796,8.631158796656008,3402.0
77,47.45003194829796,8.637790090197008,3784.0
78,47.45003194829796,8.64442138373801,3393.0
79,47.45003194829796,8.65105267727901,3185.0
80,47.44554937207175,8.392432229179988,3668.0
81,47.44554937207175,8.399063522720988,3515.0
82,47.44554937207175,8.40569481626199,3322.0
83,47.44554937207175,8.41232610980299,3585.0
84,47.44554937207175,8.41895740334399,4054.0
85,47.44554937207175,8.425588696884992,4113.0
86,47.44554937207175,8.432219990425992,3667.0
87,47.44554937207175,8.438851283966992,3396.0
88,47.44554937207175,8.445482577507992,3833.0
89,47.44554937207175,8.452113871048994,4043.0
90,47.44554937207175,8.458745164589994,3415.0
91,47.44554937207175,8.465376458130994,3846.0
92,47.44554937207175,8.472007751671995,3598.0
93,47.44554937207175,8.478639045212995,3766.0
94,47.44554937207175,8.485270338753995,3765.0
95,47.44554937207175,8.491901632294997,4319.0
96,47.44554937207175,8.498532925835997,4423.0
97,47.44554937207175,8.505164219376997,5000.0
98,47.44554937207175,8.511795512917999,3544.0
99,47.44554937207175,8.518426806458999,2820.0
100,47.44554937207175,8.525058099999999,2456.0
101,47.44554937207175,8.531689393541,2410.0
102,47.44554937207175,8.538320687082,2573.0
103,47.44554937207175,8.544951980623,2763.0
104,47.44554937207175,8.551583274164,4581.0
105,47.44554937207175,8.558214567705003,3919.0
106,47.44554937207175,8.564845861246003,3643.0
107,47.44554937207175,8.571477154787003,2112.0
108,47.44554937207175,8.578108448328004,2417.0
109,47.44554937207175,8.584739741869004,2344.0
110,47.44554937207175,8.591371035410004,2831.0
111,47.44554937207175,8.598002328951006,2892.0
112,47.44554937207175,8.604633622492006,2596.0
113,47.44554937207175,8.611264916033006,2522.0
114,47.44554937207175,8.617896209574008,2710.0
115,47.44554937207175,8.624527503115008,2715.0
116,47.44554937207175,8.631158796656008,2976.0
117,47.44554937207175,8.637790090197008,3189.0
118,47.44554937207175,8.64442138373801,3234.0
119,47.44554937207175,8.65105267727901,3206.0
120,47.44106679584554,8.392432229179988,4288.0
